Nom,Adresse,BP,Pays,Email,Fax,Téléphone,Site Web,Agrément CREPMF,Gestion libre,Apport initial (FCFA),Courtage (%),Frais de conservation,Observations
ABCO Bourse,"Résidence Moumtazz, Avenue Cheikh Anta Diop, Mermoz - Face 2ème Porte, DAKAR - SENEGAL",6956 Dakar – Etoile,SÉNÉGAL,contact@abcobourse.com,(+221) 33 822 68 01,(+221) 33 822 68 00,www.abcobourse.com,,Oui,"50,000",0.27% - 0.5%,0 FCFA / inclus,Plateforme BS Trade
Africaine de Gestion et d’Intermédiation (AGI),"Av. Jean Paul II, Carré 1269 Immeuble de l’Africaine des Assurances Face à la Direction de l’Emigration Immigration 01",8668 RP Cotonou,BENIN,contact@sgi-agi.com,+229 21316065,(+229) 21318733,www.sgi-agi.com,,Oui,À vérifier,À vérifier,Forfait / % portefeuille,Plateforme MyCGF
ATLANTIQUE FINANCE,"15, Av. Joseph Anoma, Abidjan-Plateau, 10ème étage",04 BP 1036 Abidjan 04,CÔTE D'IVOIRE,atlantiquefinance@banqueatlantique.net,(+225) 2720 32 06 77,(+225) 27 20 31 21 21 / (+225) 27 20 31 21 23,https://www.atlantiquefinance.net/,,Oui,"500,000",0.27% - 0.5%,À vérifier,Orientation patrimoniale
ATTIJARI SECURITIES WEST AFRICA,Rue Gourgas - Tour Immeuble Alpha 2000 3ème étage,1300 ABIDJAN,CÔTE D'IVOIRE,aswa@sib.ci,(225) 27 20 21 98 27,(+225) 27 20 21 98 26 / 32,www.sib.ci,,Non,"100,000",~0.3%,"2,000 FCFA/trimestre + 0.75%",Service institutionnel
Société Africaine d'Ingénierie et d'Intermédiation Financières (SA2IF),"Ouaga Kossyam 10010 Ouaga 2000, Extension sud non loin de Salitas",459 Ouaga,BURKINA FASSO,sa2if@sa2if.com,N/A,(+226) 75 20 01 01 / (+226) 64 36 99 99 / (+226) 25 46 46 35,https://www.sa2if.com/,,Non,"250,000",~0.25%,"10,000 FCFA/trimestre",Frais élevés
SOCIETE GENERALE CAPITAL SECURITIES WEST AFRICA,"Bd Hassan II, Immeuble Ivoire Trade Center - Cocody - Abidjan",1355 ABIDJAN 01 T,CÔTE D'IVOIRE,filiale.sogebourse@socgen.com,(225) 27 20 20 14 89,(+225) 27 20 20 12 65,https://societegenerale.africa/fr/des-services-sur-mesure/une-expertise-marches-financiers/gestion-intermediation/,,Non,"100,000",~0.5%,"2,500 FCFA/trimestre",Coût annuel élevé
United Capital for Africa SA,"Av. proche, rue en face de l’eglise Saint Michel allant vers Caboma, immeuble Comète lot 202 parcelle « d », Cotonou – BENIN",001 BP 8690 RP,BENIN,uca@ucasgi.com,(229) 21 31 00 21,(+229) 21 31 00 21 / 61 18 18 00,www.ucasgi.com,,Oui,Non précisé,~0.5%,Sur demande,Application mobile
SGI PHOENIX CAPITAL MANAGEMENT,"Cocody Riviera 4 Golf, Abidjan Face à l'annexe de l'Ambassade des USA (Ivoire Golf Club)",12686 Abidjan 12,CÔTE D'IVOIRE,cms@phoenixafrica.com,(225) 27 22 59 85 80,(+225) 27 22 59 85 80,https://phoenixafricaholding.com/,,,,,,
SGI SBIF,"Avenue John Kennedy, 01",53 94 Ouagadougou 01,BURKINA FASSO,sbif@fasonet.bf,(226) 25 33 04 90,(+226) 25 33 04 91/92,https://www.sbifbourse.bf/,,,,,,
SGI TOGO S.A,"PLACE VAN VOLLENHOVEN, UTB Centrale 3ème Etage",2312 LOME,TOGO,sgiI-togo@ids.tg,(228) 22 22 31 47,(+228) 22 22 31 45,https://sgitogo.tg,,,,,,
SIRIUS CAPITAL,"ABIDJAN – PLATEAU – CÔTE D’IVOIRE, Rue Jesse Owens Sis Immeuble Sciam",12916 Abidjan 01,CÔTE D'IVOIRE,contact@sirius.ci,(225) 27 20 24 24 74,(+225) 27 20 24 24 65,www.sirius.ci,,,,,,
SGI IMPAXIS SECURITIES SA,Sacré Cœur 3 Extension VDN n° 10 077,45545 DAKAR Sénégal,SÉNÉGAL,Impaxis.securities@impaxis-securities.com,(221) 33 864 53 41,(+221) 33 869 31 40/47,https://www.impaxis-securities.com/,,,,,,
SGI MAC AFRICAN,COCODY Riviera M’BADON à 300 mètres de l’Ambassade de Chine,,CÔTE D'IVOIRE,macafrican@macafrican.com,(225) 27 22 46 28 92,(+225) 07 68 311 125 / 27 22 46 28 92,www.macafricansgi.com,,,,,,
SGI MALI S.A,"lmmeuble Ali Baba (ABKll) 2ème Etage, Bureau 209-210",,MALI,SGI@SGImali.com,(223) 20 29 29 75,(+223) 20 29 41 19,https://www.sgi-mali.com/,,,,,,
SGI NIGER S.A,258 B Rue du Grand Hôtel,10812 Niamey,NIGER,sginiger@sginiger.com,(227) 20 73 78 16,(+227) 20 73 78 18,www.sginiger.com,,,,,,
SGI CGF BOURSE,"Km 6, Av Cheick Anta Diop, Immeuble El Hadji Serigne Bassirou Mbacké",N/A,SÉNÉGAL,cgfbourse@cgfbourse.com,(221) 33 824 03 34,(+221) 33 864 97 97,https://www.cgfbourse.com/,,,,,,
SGI CORIS BOURSE S.A,"1242 Avenue Dr Kwame Nkrumah, Immeuble Coris Bank International, 01",6585 Ouagadougou 01,BURKINA FASSO,corisbourse@corisbourse.com,(226) 50 33 14 83,(+226) 50 33 14 85/50 72 73,https://coris-bourse.com/,,,,,,
SGI EDC Investment Corporation,"Avenue Houdaille, 2ème étage Immeuble Ecobank, 01",4107 Abidjan 01,CÔTE D'IVOIRE,eic@ecobank.com,(225) 27 20 21 10 46,(+225) 27 20 21 10 44,https://ecobank.com/ci/corporate-banking/edc,,,,,,
SGI HUDSON & Cie,"24 Boulevard Clozel, Avenue Lamblin, Immeuble Le 24, 4e étage, 18 BP 2294 Abidjan 18 COTE D'IVOIRE",2294 ABIDJAN 18,CÔTE D'IVOIRE,info@hudson-cie.com,(225) 27 20 33 22 24,(+225) 27 20 31 55 00,http://www.hudson-cie.com,,,,,,
SGI BENIN S.A,Carré 211 Saint Michel Immeuble SGI-BENIN,01 BP 4546 Cotonou,BENIN,sgibenin@sgibenin.com,(229)21 31 15 60,(+229)21 31 15 41/71,www.sgibenin.com,,,,,,
SGI BICI BOURSE,"1er étage de l'agence BICICI_AGHIEN, Cocody ll Plateau, Boulevard Latrille, Carrefour Duncan 01 BP 1298 Abidjan",1298 ABIDJAN,CÔTE D'IVOIRE,bicibourse@africa.bnpparibas.com,(225) 27 20 21 47 22,(+225) 27 20 20 16 68,https://www.bicibourse.ci/,,,,,,
SGI BIIC FINANCIAL SERVICES (BFS),Boulevard St Michel,7700 COTONOU 01,BENIN,sgibfs@biic-financialservices.com,(229) 21 32 44 67,(+229) 21 32 48 75/76,https://www.biic-financialservices.com/,,,,,,
